x	y	yaw
1.78286	0.16465	0.153614	
1.78285	0.164718	0.153528	
1.78302	0.164476	0.153699	
1.78312	0.164525	0.153688	
1.783	0.164632	0.153606	
1.78299	0.164512	0.153675	
1.78312	0.164463	0.153705	
1.78324	0.164467	0.153704	
1.78324	0.164485	0.153731	
1.78318	0.16453	0.153714	
1.78318	0.164516	0.153704	
1.78312	0.165037	0.15351	
1.78321	0.164443	0.15371	
1.78319	0.164526	0.153641	
1.78311	0.16436	0.153746	
1.7831	0.164354	0.153736	
1.78308	0.164362	0.153726	
1.78321	0.164242	0.153789	
1.78302	0.164222	0.153777	
1.7831	0.16431	0.153743	
1.78311	0.164374	0.153702	
1.78327	0.164331	0.153756	
1.78337	0.164417	0.153758	
1.7833	0.164515	0.153698	
1.78335	0.164601	0.153667	
1.78334	0.164563	0.153663	
1.7833	0.16451	0.153677	
1.78322	0.164541	0.153657	
1.78327	0.164366	0.153802	
1.78324	0.164568	0.15366	
1.78306	0.164389	0.153718	
1.78307	0.164312	0.15376	
1.78309	0.164326	0.153771	
1.78296	0.164939	0.153482	
1.78298	0.164618	0.153657	
1.78303	0.164681	0.153661	
1.78307	0.164612	0.153683	
1.7831	0.164817	0.153616	
1.78329	0.164486	0.15377	
1.78324	0.164436	0.153767	
1.78317	0.164487	0.153693	
1.78315	0.164471	0.153756	
1.78321	0.164465	0.153769	
1.7831	0.164571	0.15367	
1.78309	0.164598	0.153675	
1.783	0.164617	0.153637	
1.78311	0.164369	0.153773	
1.78304	0.164577	0.153664	
1.78317	0.164549	0.153723	
1.78308	0.164687	0.153629	
1.78318	0.164503	0.153695	
1.78298	0.164664	0.153587	
1.78307	0.164561	0.153668	
1.78317	0.164525	0.153706	
1.78316	0.164556	0.153674	
1.78311	0.164567	0.153685	
1.78317	0.164633	0.153648	
1.78335	0.164431	0.153775	
1.78311	0.164458	0.153727	
1.78305	0.164894	0.153519	
1.78286	0.164911	0.153512	
1.7831	0.164554	0.153658	
1.78311	0.164512	0.153663	
1.78303	0.164526	0.153645	
1.78302	0.164411	0.153714	
1.78313	0.164423	0.153756	
1.7833	0.164184	0.153843	
1.78309	0.164504	0.153687	
1.78323	0.164421	0.153739	
1.78302	0.164639	0.153636	
1.78301	0.164477	0.153689	
1.78316	0.164567	0.153664	
1.78319	0.164417	0.15371	
1.78329	0.16438	0.153735	
1.78322	0.164438	0.153738	
1.78324	0.164404	0.153754	
1.78314	0.164334	0.15378	
1.78313	0.16446	0.153676	
1.78309	0.164491	0.153695	
1.78308	0.164488	0.153722	
1.78313	0.164511	0.153715	
1.78328	0.164415	0.153761	
1.78339	0.164484	0.153729	
1.78335	0.164505	0.153741	
1.78337	0.164451	0.153751	
1.78335	0.164531	0.15374	
1.78328	0.164607	0.153688	
1.78323	0.164771	0.153602	
1.78328	0.164753	0.153658	
1.7833	0.164691	0.153697	
1.78319	0.164773	0.15361	
1.78315	0.164721	0.153656	
1.78314	0.164753	0.1536	
1.78329	0.164487	0.153769	
1.78339	0.164386	0.153804	
1.78327	0.164391	0.153768	
1.78345	0.164326	0.153829	
1.78322	0.164372	0.153785	
1.78308	0.164615	0.153679	
1.78327	0.16476	0.153647	
1.78309	0.164572	0.153682	
1.78311	0.164662	0.153618	
1.78327	0.16453	0.153677	
1.78322	0.164519	0.153652	
1.7833	0.164011	0.153909	
1.78328	0.164243	0.153786	
1.78315	0.164434	0.153709	
1.78308	0.164451	0.153686	
1.78318	0.164439	0.153717	
1.78314	0.164448	0.153718	
1.78312	0.164767	0.153612	
1.78321	0.164814	0.153599	
1.78315	0.164724	0.153666	
1.78318	0.164769	0.153595	
1.78331	0.164724	0.15362	
1.7832	0.164564	0.153633	
1.78311	0.164595	0.153628	
1.7832	0.164462	0.153716	
